회차,소방서,start,goal,meeting,u_x,u_y,v_x,v_y,forward_time,backward_time,총비용,총시간(분),경로노드수,정방향경로,역방향경로
1.0,서대문소방서 북아현119안전센터,7257925078,9283138068,2329648772,126.9563562,37.5602839,126.9378309,37.5554826,190.99,233.0,233.0,3.88,32.0,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772,2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068
1.0,마포소방서 119구조대,8477574118,9283138068,436718687,126.9329263,37.5497833,126.9378309,37.5554826,795.8,759.0,795.8,13.26,32.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 5293251538 → 436805789 → 4591716533 → 4591716540 → 2330771472 → 2330771469 → 4632077004 → 4632072866 → 4639550704 → 4632072867 → 4421755486 → 4632067413 → 9283138089 → 5887231074 → 9283138093 → 11080341316 → 436718687,436718687 → 11689066396 → 11689066406 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068
1.0,공덕119안전센터,2330782485,9283138068,4591424995,126.9594634,37.5500041,126.9378309,37.5554826,634.56,588.0,634.56,10.58,41.0,2330782485 → 2330782543 → 2330782501 → 3157336864 → 8383073842 → 3157553461 → 4593817613 → 3991035409 → 436825400 → 436825402 → 436825406 → 2451940825 → 436825408 → 4591461862 → 4591461863 → 2329648813 → 4591488583 → 4591424995,4591424995 → 4591488789 → 8478367051 → 436718711 → 11689066418 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068
1.0,서대문소방서119구조대,3825310652,9283138068,3743712569,126.9347477,37.5716165,126.9378309,37.5554826,1280.89,1229.0,1280.89,21.35,63.0,3825310652 → 2532346015 → 1912549265 → 3825310381 → 6807582095 → 3825310361 → 436873059 → 3825310135 → 4590010867 → 4590010868 → 3825310056 → 3825310054 → 3785058070 → 2532403770 → 3825309970 → 3785058057 → 3785057948 → 3785057934 → 3825309611 → 4589998394 → 3825309343 → 3825309224 → 3825309165 → 3825309116 → 3825309131 → 3825309149 → 3825309136 → 3785057868 → 436855674 → 7773276140 → 3825309062 → 3825309058 → 3743712537 → 2473267808 → 2473262339 → 3743710018 → 2473262330 → 3743710017 → 4590174136 → 3309835038 → 4590174137 → 3743712569,3743712569 → 4590174137 → 3743710007 → 4590181165 → 2473261142 → 3309835004 → 3743691928 → 3743689823 → 3309834990 → 3309835001 → 3309835011 → 3309835009 → 2237153678 → 436862293 → 3618644427 → 3310757830 → 3864845789 → 4591044475 → 3864845795 → 3309834973 → 2930467407 → 9283138068
,,,,,,,,,,,,,,,
2.0,서대문소방서 북아현119안전센터,7257925078,11689066396,9283138058,126.9563562,37.5602839,126.936995,37.5550864,313.48,365.0,365.0,6.08,33.0,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058,9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 436718687 → 11689066396
2.0,마포소방서 119구조대,8477574118,11689066396,5887231074,126.9329263,37.5497833,126.936995,37.5550864,584.05,583.0,584.05,9.73,24.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 5293251538 → 436805789 → 4591716533 → 4591716540 → 2330771472 → 2330771469 → 4632077004 → 4632072866 → 4639550704 → 4632072867 → 4421755486 → 4632067413 → 9283138089 → 5887231074,5887231074 → 9283138093 → 11080341316 → 436718687 → 11689066396
2.0,공덕119안전센터,2330782485,11689066396,2451940820,126.9594634,37.5500041,126.936995,37.5550864,736.98,777.0,777.0,12.95,56.0,2330782485 → 2330782543 → 2330782501 → 3157336864 → 8383073842 → 3157553461 → 4593817613 → 3991035409 → 436825400 → 436825402 → 436825406 → 2451940825 → 436825408 → 4591461862 → 4591461863 → 2329648813 → 4591488583 → 3351589657 → 3351589656 → 4591442595 → 3351589633 → 4591432393 → 2329648810 → 3351589627 → 3351589625 → 4591488796 → 2451940820,2451940820 → 2329648872 → 2451940816 → 2329648875 → 8385742988 → 3351589526 → 2329648822 → 4591432394 → 2451940793 → 7966875819 → 2330771333 → 2451940802 → 8385741221 → 3339311193 → 3864845909 → 3864845913 → 2330771431 → 2330771444 → 3309834972 → 3309834969 → 8481414781 → 2330771440 → 4664104638 → 2330771439 → 2330771437 → 436853695 → 3865541988 → 11080341316 → 436718687 → 11689066396
2.0,서대문소방서119구조대,3825310652,11689066396,11689066377,126.9347477,37.5716165,126.936995,37.5550864,1443.51,1425.0,1443.51,24.06,48.0,3825310652 → 2532346015 → 1912549265 → 3825310381 → 6807582095 → 3825310361 → 436873059 → 3825310135 → 4590010867 → 4590010868 → 3825310056 → 3825310054 → 3785058070 → 2532403770 → 3825309970 → 3785058057 → 3785057948 → 3785057934 → 3825309611 → 4589998394 → 3825309343 → 3825309277 → 4588152156 → 3798890910 → 4588152157 → 3742400162 → 2329649078 → 2473245567 → 2473245566 → 2473255292 → 3743710024 → 3743712526 → 3743712561 → 2473255296 → 2473255281 → 3743712544 → 3743712546 → 4590160919 → 4590170289 → 9282422519 → 9301802433 → 11689066377,11689066377 → 11689066385 → 11689066386 → 9283051974 → 9468334143 → 436718687 → 11689066396
,,,,,,,,,,,,,,,
3.0,서대문소방서 북아현119안전센터,7257925078,9283051960,9282595679,126.9563562,37.5602839,126.9340575,37.5561654,208.98,263.0,263.0,4.38,36.0,7257925078 → 4591816225 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679,9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056 → 9283138055 → 9283138070 → 9283138068 → 9283051968 → 9283138078 → 9283051961 → 9283051960
3.0,마포소방서 119구조대,8477574118,9283051960,9283138093,126.9329263,37.5497833,126.9340575,37.5561654,638.72,679.0,679.0,11.32,28.0,8477574118 → 4591663752 → 4591663738 → 4591663750 → 4591663748 → 2690977357 → 5293251538 → 436805789 → 4591716533 → 4591716540 → 2330771472 → 2330771469 → 4632077004 → 4632072866 → 4639550704 → 4632072867 → 4421755486 → 4632067413 → 9283138089 → 5887231074 → 9283138093,9283138093 → 11080341316 → 436718687 → 9944466192 → 9283051968 → 9283138078 → 9283051961 → 9283051960
