trial,station,u,v,meeting_node,u_x,u_y,v_x,v_y,forward_time,backward_time,total_cost,total_risk,total_score,total_time_min,path_length,forward_path,backward_path,duration,duration_bus,duration_ambulance,bus_diff,ambulance_diff,bus_saving_percent,ambulance_saving_percent
1,서대문소방서 북아현119안전센터,7257925078,9283051950,9283138043,126.9563562,37.5602839,126.9327965,37.5564511,125.6,0.0,125.6,12.59,91.7,2.09,44,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043,9283051950 → 9283051975 → 9283051974 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043,574,9.566666666666666,6.6201333333333325,7.476666666666667,4.530133333333333,78.15331010452962,68.42963887937805
2,서대문소방서 북아현119안전센터,7257925078,3893042401,4591845013,126.9563562,37.5602839,126.9600632,37.5579115,67.26,172.5,172.5,4.77,122.18,2.88,20,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827910 → 3893042387 → 4591845013,3893042401 → 3893042397 → 2329648762 → 4591832845 → 4591832841 → 4591832837 → 4591832838 → 2451940839 → 4591845019 → 4591827911 → 4591845013,241,4.016666666666667,2.779533333333333,1.1366666666666667,-0.1004666666666667,28.29875518672199,-3.6145156261242906
3,공덕119안전센터,2330782485,9800448854,8383098864,126.9594634,37.5500041,126.9641034,37.5620474,90.65,0.0,90.65,3.91,64.63,1.51,18,2330782485 → 3352620587 → 8383046649 → 3352633633 → 4593817590 → 2451940779 → 4593791021 → 4656545971 → 2329648967 → 2329648966 → 4656545972 → 8383098864,9800448854 → 5863307810 → 5863307819 → 5863307818 → 5863307816 → 5863307814 → 8383098864,567,9.45,6.5394,7.9399999999999995,5.0294,84.02116402116403,76.90919656237575
4,서대문소방서 북아현119안전센터,7257925078,7069047604,7069018256,126.9563562,37.5602839,126.9287832,37.5580608,114.53,0.0,114.53,12.18,83.82,1.91,47,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256,7069047604 → 7069047605 → 7069047606 → 9283051982 → 9283051963 → 9283051958 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256,172,2.8666666666666667,1.9837333333333331,0.9566666666666668,0.0737333333333332,33.372093023255815,3.716897432450592
5,서대문소방서 북아현119안전센터,7257925078,9282595681,4591827921,126.9563562,37.5602839,126.9509546,37.5571508,50.52,44.3,50.52,3.53,36.42,0.84,22,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921,9282595681 → 9282595679 → 3648333526 → 2329648772 → 3648333425 → 8482703424 → 1936511359 → 8478359173 → 2451940827 → 4591816222 → 4591828305 → 4591832828 → 4591828308 → 3893042382 → 4591827921,567,9.45,6.5394,8.61,5.6994,91.11111111111111,87.15478484264611
6,공덕119안전센터,2330782485,4591424995,2451940825,126.9594634,37.5500041,126.9544198,37.5572293,136.6,247.8,247.8,4.88,174.92,4.13,20,2330782485 → 3352620587 → 8383046649 → 3352633633 → 4593817590 → 2451940779 → 4593791021 → 4656545971 → 3352633900 → 3991035409 → 436825400 → 436825402 → 436825406 → 2451940825,4591424995 → 4591488583 → 2329648813 → 4591461863 → 4591461862 → 436825408 → 2451940825,559,9.316666666666666,6.4471333333333325,5.1866666666666665,2.3171333333333326,55.67084078711986,35.94052136867031
7,서대문소방서 북아현119안전센터,7257925078,4591488789,8478359170,126.9563562,37.5602839,126.9553388,37.5572853,109.34,244.8,244.8,7.5,173.61,4.08,24,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 8478359170,4591488789 → 4591488586 → 4591488587 → 2329648814 → 436825413 → 436718711 → 11689066418 → 1936511359 → 8478359170,333,5.55,3.8406,1.4699999999999998,-0.23940000000000028,26.486486486486484,-6.2334010310889
8,서대문소방서 북아현119안전센터,7257925078,12234342176,7068970634,126.9563562,37.5602839,126.9594647,37.5572776,112.31,0.0,112.31,8.14,81.06,1.87,20,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 11689066418 → 7068970634,12234342176 → 12234342179 → 7068970634,300,5.0,3.46,3.13,1.5899999999999999,62.6,45.95375722543352
9,서대문소방서 북아현119안전센터,7257925078,7069047604,7069018256,126.9563562,37.5602839,126.9287832,37.5580608,114.53,0.0,114.53,12.18,83.82,1.91,47,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256,7069047604 → 7069047605 → 7069047606 → 9283051982 → 9283051963 → 9283051958 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256,327,5.45,3.7714,3.54,1.8614,64.95412844036697,49.355676936946494
10,공덕119안전센터,2330782485,5863307816,4593817590,126.9594634,37.5500041,126.9603834,37.5579158,54.32,117.7,117.7,1.54,82.85,1.96,14,2330782485 → 3352620587 → 8383046649 → 3352633633 → 4593817590,5863307816 → 5863307814 → 8383098864 → 4656545972 → 2329648966 → 2329648967 → 4656545971 → 4593791021 → 2451940779 → 4593817590,567,9.45,6.5394,7.489999999999999,4.5794,79.25925925925927,70.0278312995076
11,서대문소방서 북아현119안전센터,7257925078,9283051963,9283051988,126.9563562,37.5602839,126.9317242,37.5569637,124.91,0.0,124.91,5.47,89.07,2.08,34,7257925078 → 2330771492 → 4591859926 → 4591816229 → 2329648783 → 2451940919 → 2451940901 → 7967031733 → 4591767518 → 8385791616 → 2961215633 → 2329648794 → 2330782622 → 9283051988,9283051963 → 9283051958 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988,261,4.35,3.0101999999999998,2.2699999999999996,0.9301999999999997,52.183908045977,30.901601222510124
12,서대문소방서 북아현119안전센터,7257925078,7069047604,7069018256,126.9563562,37.5602839,126.9287832,37.5580608,114.53,0.0,114.53,12.18,83.82,1.91,47,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256,7069047604 → 7069047605 → 7069047606 → 9283051982 → 9283051963 → 9283051958 → 9283051969 → 7069047608 → 9283051959 → 9283051960 → 9283051961 → 9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256,517,8.616666666666667,5.9627333333333326,6.706666666666667,4.052733333333332,77.83365570599614,67.96771055779787
13,서대문소방서 북아현119안전센터,7257925078,9283138078,3648333526,126.9563562,37.5602839,126.9359689,37.5555142,89.96,0.0,89.96,8.72,65.59,1.5,36,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526,9283138078 → 9283051968 → 9283138068 → 9283138070 → 9283138055 → 9283138056 → 9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988 → 9282595681 → 9282595679 → 3648333526,598,9.966666666666667,6.896933333333333,8.466666666666667,5.396933333333333,84.94983277591973,78.25120343341003
14,공덕119안전센터,2330782485,5863307818,4593817590,126.9594634,37.5500041,126.9615719,37.5588786,54.32,117.7,117.7,1.54,82.85,1.96,15,2330782485 → 3352620587 → 8383046649 → 3352633633 → 4593817590,5863307818 → 5863307816 → 5863307814 → 8383098864 → 4656545972 → 2329648966 → 2329648967 → 4656545971 → 4593791021 → 2451940779 → 4593817590,425,7.083333333333333,4.901666666666666,5.123333333333333,2.9416666666666664,72.32941176470588,60.013600816048964
15,서대문소방서 북아현119안전센터,7257925078,7069023714,9283138056,126.9563562,37.5602839,126.9347249,37.555781,151.89,147.8,151.89,14.49,110.67,2.53,56,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827 → 8478359173 → 1936511359 → 8482703424 → 3648333425 → 2329648772 → 3648333526 → 9282595679 → 9282595681 → 9283051988 → 8477772800 → 7069018256 → 9283138043 → 9283138045 → 9283138047 → 9283138058 → 9283138057 → 9283138056,7069023714 → 3743639370 → 3743639361 → 3743639360 → 3743639333 → 3743639334 → 3743639353 → 3743639350 → 3743639349 → 4590204408 → 3743639342 → 4552468316 → 4552468315 → 3743639378 → 4590191568 → 4121393430 → 9283138094 → 9283138095 → 9283138073 → 9283138074 → 11080341315 → 11080341314 → 436718687 → 9283138070 → 9283138055 → 9283138056,477,7.95,5.5014,5.42,2.9714000000000005,68.17610062893081,54.01170611117171
16,서대문소방서 북아현119안전센터,7257925078,9283138057,2451940827,126.9563562,37.5602839,126.9410794,37.5565192,73.35,0.0,73.35,6.46,53.29,1.22,30,7257925078 → 2330771492 → 4663449526 → 4663449524 → 4309846347 → 4663449521 → 4591816224 → 4591827921 → 3893042382 → 4591828308 → 4591832828 → 4591828305 → 4591816222 → 2451940827,9283138057 → 9283138058 → 9283138047 → 9283138045 → 9283138043 → 7069018256 → 8477772800 → 9283051988 → 9282595681 → 9282595679 → 3648333526 → 2329648772 → 3648333425 → 8482703424 → 1936511359 → 8478359173 → 2451940827,286,4.766666666666667,3.298533333333333,3.546666666666667,2.0785333333333327,74.40559440559441,63.01386474796878
