u,v,u_x,u_y,v_x,v_y,duration,departure_time
414685214,436874429,126.9319373,37.5455648,126.93164,37.54525,162,202507010800
414685225,3431071797,126.94077,37.54663,126.941151,37.5470498,41,202507010800
414685225,3867929892,126.94077,37.54663,126.9404951,37.5463184,300,202507010800
414685214,8463187835,126.9319373,37.5455648,126.9314378,37.5455693,6,202507010800
414685214,436874438,126.9319373,37.5455648,126.9325708,37.5474537,80,202507010800
414685256,8477568358,126.9329604,37.5500071,126.933251,37.5500054,258,202507010800
414685214,2739029763,126.9319373,37.5455648,126.9325961,37.545421,213,202507010800
414683302,8154128184,126.9597016,37.5576097,126.9595927,37.5575624,2,202507010800
414683302,7068970634,126.9597016,37.5576097,126.9592665,37.5572476,313,202507010800
414685225,4591208014,126.94077,37.54663,126.9414597,37.5464015,186,202507010800
414685225,3868066575,126.94077,37.54663,126.9402303,37.5467981,134,202507010800
436689812,3991035411,126.9531787,37.5469777,126.9533341,37.5468936,262,202507010800
436689812,2451940665,126.9531787,37.5469777,126.9526176,37.5472612,9,202507010800
436689812,3242365290,126.9531787,37.5469777,126.952788,37.5464108,84,202507010800
414685256,8477568355,126.9329604,37.5500071,126.9329711,37.5501053,135,202507010800
414685256,8477574118,126.9329604,37.5500071,126.9329263,37.5497833,33,202507010800
436718687,11689066396,126.9369374,37.5550893,126.936995,37.5550864,201,202507010800
436718687,9944466192,126.9369374,37.5550893,126.9367767,37.5552729,308,202507010800
436718711,11689066418,126.9561831,37.5573367,126.9561922,37.5573806,0,202507010800
436718687,11080341314,126.9369374,37.5550893,126.9368554,37.5550576,188,202507010800
436718711,436825413,126.9561831,37.5573367,126.956067,37.55711,193,202507010800
436718711,8478367052,126.9561831,37.5573367,126.9565241,37.5573389,218,202507010800
436805789,5293251538,126.9358022,37.5499254,126.9351889,37.5494192,40,202507010800
436805774,2451940711,126.9384187,37.5498486,126.9379506,37.5497059,10,202507010800
436805774,9946440068,126.9384187,37.5498486,126.9390428,37.5491837,161,202507010800
