ID,u,v,key,osmid,highway,name,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,tunnel,junction,access,width,service,u_x,u_y,v_x,v_y,u_point,v_point,risk
0,414683302,8154128184,0,620604517,primary,신촌로,TRUE,FALSE,10.94584064,"LINESTRING (126.9597016 37.5576097, 126.9595927 37.5575624)",,,6,,,,,,,126.9597016,37.5576097,126.9595927,37.5575624,POINT (126.9597016 37.5576097),POINT (126.9595927 37.5575624),0.351996188
1,414683302,7068970634,0,37928379,primary,마포대로,TRUE,FALSE,55.60731061,"LINESTRING (126.9597016 37.5576097, 126.9593191 37.5572914, 126.9592665 37.5572476)",,,,,,,,,,126.9597016,37.5576097,126.9592665,37.5572476,POINT (126.9597016 37.5576097),POINT (126.9592665 37.5572476),0.974673993
2,414685214,2739029763,0,331322560,secondary,토정로,FALSE,TRUE,60.33726041,"LINESTRING (126.9319373 37.5455648, 126.9323605 37.5454574, 126.9325961 37.545421)",,,,,,,,,,126.9319373,37.5455648,126.9325961,37.545421,POINT (126.9319373 37.5455648),POINT (126.9325961 37.545421),0.930486335
3,414685214,436874429,0,474327639,secondary,창전로,FALSE,TRUE,43.82069225,"LINESTRING (126.9319373 37.5455648, 126.9318205 37.5454205, 126.93178 37.54538, 126.93164 37.54525)",,,,,,,,,,126.9319373,37.5455648,126.93164,37.54525,POINT (126.9319373 37.5455648),POINT (126.93164 37.54525),0.714822821
4,414685214,436874438,0,515842283,secondary,창전로,FALSE,FALSE,217.5295214,"LINESTRING (126.9319373 37.5455648, 126.9319703 37.5456526, 126.93218 37.54621, 126.93244 37.54692, 126.9325241 37.5472632, 126.9325708 37.5474537)",,,,,,,,,,126.9319373,37.5455648,126.9325708,37.5474537,POINT (126.9319373 37.5455648),POINT (126.9325708 37.5474537),0.9632112
5,414685214,8463187835,0,515842284,secondary,토정로,FALSE,FALSE,44.04032577,"LINESTRING (126.9319373 37.5455648, 126.9317179 37.5455668, 126.9314378 37.5455693)",,,,,,,,,,126.9319373,37.5455648,126.9314378,37.5455693,POINT (126.9319373 37.5455648),POINT (126.9314378 37.5455693),0.600696758
6,414685225,3867929892,0,220067986,secondary,대흥로,FALSE,FALSE,42.28335784,"LINESTRING (126.94077 37.54663, 126.9406604 37.5465058, 126.9404951 37.5463184)",,,,,,,,,,126.94077,37.54663,126.9404951,37.5463184,POINT (126.94077 37.54663),POINT (126.9404951 37.5463184),0.471223877
7,414685225,3431071797,0,220067987,secondary,대흥로,FALSE,FALSE,57.51953887,"LINESTRING (126.94077 37.54663, 126.9409161 37.5467941, 126.9410285 37.5469204, 126.9410794 37.5469709, 126.941151 37.5470498)",,,,,,,,,,126.94077,37.54663,126.941151,37.5470498,POINT (126.94077 37.54663),POINT (126.941151 37.5470498),0.710285658
8,414685225,4591208014,0,515842287,secondary,독막로,FALSE,TRUE,65.91766258,"LINESTRING (126.94077 37.54663, 126.9409747 37.5465665, 126.94106 37.54654, 126.9412443 37.546475, 126.9414 37.54642, 126.9414597 37.5464015)",,,,,,,,,,126.94077,37.54663,126.9414597,37.5464015,POINT (126.94077 37.54663),POINT (126.9414597 37.5464015),0.024406294
9,414685225,3868066575,0,515842288,secondary,독막로,FALSE,TRUE,51.12073684,"LINESTRING (126.94077 37.54663, 126.94056 37.5466954, 126.9402303 37.5467981)",,,,,,,,,,126.94077,37.54663,126.9402303,37.5467981,POINT (126.94077 37.54663),POINT (126.9402303 37.5467981),0.044303586
